orderid,date,prodnumber,prodname,categoryname,customerid,firstname,lastname,customercity,customerstate,quantity,price,total
1,2020-01-01,EB514,Polar Robots,eBooks,1866,Farrand,Vasler,Jackson,Mississippi,2,23.99,47.98
2,2020-01-01,RS706,RWW-75 Robot,Robots,1567,Terencio,McKern,Katy,Texas,3,883,2649
3,2020-01-01,TV804,Drone Video Techniques,Training Videos,2064,Geordie,Stiggers,Saint Petersburg,Florida,6,37.99,227.94
4,2020-01-01,DK203,BYOD-220,Drone Kits,287,Elna,De Angelo,Honolulu,Hawaii,1,69,69
5,2020-01-01,EB517,SCARA Robots,eBooks,422,Lucita,Lesper,Des Moines,Iowa,5,19.5,97.5
6,2020-01-01,EB519,Spherical Robots,eBooks,954,Llewellyn,Fromont,Birmingham,Alabama,5,16.75,83.75
7,2020-01-02,RK604,BYOR-2640S,Robot Kits,726,Anne-marie,Guion,Houston,Texas,2,189,378
8,2020-01-02,TV810,Understanding Automation,Training Videos,1740,Kalinda,Steers,San Diego,California,1,44.95,44.95
9,2020-01-02,TV804,Drone Video Techniques,Training Videos,1652,Lolly,Gatenby,Des Moines,Iowa,2,37.99,75.98
10,2020-01-02,DS304,DTE-QFN20 Drone,Drones,1431,Joycelin,Colthurst,Sacramento,California,2,250,500
11,2020-01-02,RK604,BYOR-2640S,Robot Kits,270,Gayel,Mirrlees,Washington,District of Columbia,2,189,378
12,2020-01-02,DK201,BYOD-100,Drone Kits,815,Jake,Zellick,Washington,District of Columbia,5,54,270
13,2020-01-02,EB508,Fixed Wing Drones,eBooks,157,Odelia,Halbard,Birmingham,Alabama,3,15.5,46.5
14,2020-01-02,BP107,Ladybug Robot Blueprint,Blueprints,179,Aindrea,Kingaby,West Palm Beach,Florida,2,12,24
15,2020-01-02,RK605,BYOR-3000,Robot Kits,832,Catlee,Royle,Virginia Beach,Virginia,2,214,428
16,2020-01-03,DK205,BYOD-350,Drone Kits,1465,Bee,Bockh,Torrance,California,3,89.95,269.85
17,2020-01-03,RS702,MICR-23K Robot,Robots,678,Christyna,Ciobutaru,Charlotte,North Carolina,2,899,1798
18,2020-01-03,DS301,DA-SA702 Drone,Drones,1644,Cheri,Gabriel,Stamford,Connecticut,4,399,1596
19,2020-01-03,TV804,Drone Video Techniques,Training Videos,806,Remy,Rehm,Green Bay,Wisconsin,3,37.99,113.97
20,2020-01-04,DK209,BYOD-550,Drone Kits,997,Norris,Maven,Sarasota,Florida,2,179,358
21,2020-01-04,TV804,Drone Video Techniques,Training Videos,1272,Malvin,Chesman,Palatine,Illinois,3,37.99,113.97
22,2020-01-04,DK205,BYOD-350,Drone Kits,832,Catlee,Royle,Virginia Beach,Virginia,4,89.95,359.8
23,2020-01-04,DS302,DC-304 Drone,Drones,1313,Sabine,Abrahamian,Charlotte,North Carolina,3,395,1185
24,2020-01-04,RS702,MICR-23K Robot,Robots,638,Deina,Kainz,Albany,New York,5,899,4495
25,2020-01-05,EB516,RTF Drones,eBooks,292,Paula,Olivi,Sacramento,California,5,16.99,84.94999999999999
26,2020-01-05,TV802,AI for Educators,Training Videos,1865,Xena,Hulle,Charlotte,North Carolina,2,49.95,99.9
27,2020-01-05,EB519,Spherical Robots,eBooks,1766,Bird,Chittenden,Washington,District of Columbia,5,16.75,83.75
28,2020-01-05,EB517,SCARA Robots,eBooks,281,Malvin,Ousley,Boynton Beach,Florida,4,19.5,78
29,2020-01-06,EB511,Helicopter Drones,eBooks,889,Elke,Porter,Oakland,California,5,20.95,104.75
30,2020-01-06,EB518,Single Rotor Drones,eBooks,435,Peterus,Gaskal,Flushing,New York,6,14.99,89.94
31,2020-01-06,TV809,Understanding 3D Printing,Training Videos,811,Ariela,Berick,Atlanta,Georgia,1,42.99,42.99
32,2020-01-06,DK203,BYOD-220,Drone Kits,148,Oswell,Cuthbert,Mobile,Alabama,3,69,207
33,2020-01-06,RS706,RWW-75 Robot,Robots,157,Odelia,Halbard,Birmingham,Alabama,3,883,2649
34,2020-01-06,RK606,BYOR-3535,Robot Kits,841,Tome,Beller,Melbourne,Florida,4,225,900
35,2020-01-07,EB504,Cartesian Robots,eBooks,814,Reeta,Deere,Syracuse,New York,5,12.99,64.95
36,2020-01-07,DS306,DX-145 Drone,Drones,1930,Audrey,Scarsbrooke,Jackson,Mississippi,5,250,1250
37,2020-01-07,RK605,BYOR-3000,Robot Kits,426,Christen,Loins,Oklahoma City,Oklahoma,4,214,856
38,2020-01-07,TV804,Drone Video Techniques,Training Videos,1336,Melina,Ellse,Reno,Nevada,2,37.99,75.98
39,2020-01-07,EB501,Articulated Robots,eBooks,1708,Nona,Clandillon,Lincoln,Nebraska,1,23.99,23.99
40,2020-01-07,DS306,DX-145 Drone,Drones,43,Milli,Mulcaster,Columbus,Ohio,4,250,1000
41,2020-01-07,EB502,Building Your First Robot,eBooks,378,Hamlen,Wimes,Miami,Florida,6,24.95,149.7
42,2020-01-07,TV802,AI for Educators,Training Videos,856,Trudy,Leishman,Pensacola,Florida,3,49.95,149.85000000000002
43,2020-01-07,BP105,Creature Robot Arms Blueprint,Blueprints,1613,Natividad,de Pinna,Anniston,Alabama,5,12,60
44,2020-01-08,RK602,BYOR-1000,Robot Kits,587,Myrlene,Knyvett,Shawnee Mission,Kansas,1,189,189
45,2020-01-08,TV809,Understanding 3D Printing,Training Videos,794,Devi,Shelborne,Columbus,Georgia,4,42.99,171.96
46,2020-01-08,EB509,GPS Drones,eBooks,2104,Earlie,Mergue,Greensboro,North Carolina,6,19.99,119.94
47,2020-01-08,RK604,BYOR-2640S,Robot Kits,1166,Yardley,Kikke,Arlington,Virginia,4,189,756
48,2020-01-09,RS707,RXW-9807 Robot,Robots,1083,Fiorenze,Uebel,Lima,Ohio,6,599,3594
49,2020-01-09,EB513,Photograph Drones,eBooks,371,Nelia,Tolussi,El Paso,Texas,5,14.99,74.95
50,2020-01-09,EB504,Cartesian Robots,eBooks,11,Darla,Hassen,Rochester,New York,1,12.99,12.99
51,2020-01-09,EB518,Single Rotor Drones,eBooks,1551,Trip,Trowel,Hagerstown,Maryland,3,14.99,44.97
52,2020-01-09,RS707,RXW-9807 Robot,Robots,1542,Chancey,Dives,Springfield,Illinois,5,599,2995
53,2020-01-10,RS705,RQTE-554 Robot,Robots,2001,Pace,Grigoroni,Bronx,New York,2,684,1368
54,2020-01-10,DS304,DTE-QFN20 Drone,Drones,647,Lyn,Lucken,Dallas,Texas,2,250,500
55,2020-01-10,TV812,Understanding Raspberry PI,Training Videos,288,Nancey,Kelley,Denver,Colorado,2,28.99,57.98
56,2020-01-11,DK208,BYOD-500,Drone Kits,934,Evangeline,Bartolozzi,Glendale,California,4,167,668
57,2020-01-12,EB509,GPS Drones,eBooks,1653,Shepherd,Byas,Los Angeles,California,6,19.99,119.94
58,2020-01-12,EB514,Polar Robots,eBooks,46,Dill,Gyrgorcewicx,Tulsa,Oklahoma,4,23.99,95.96
59,2020-01-12,BP107,Ladybug Robot Blueprint,Blueprints,1340,Uriel,Castanho,Miami,Florida,6,12,72
60,2020-01-12,RK606,BYOR-3535,Robot Kits,366,Dayna,Edgeler,Columbus,Ohio,3,225,675
61,2020-01-13,EB513,Photograph Drones,eBooks,1798,Renato,Gifkins,Chicago,Illinois,4,14.99,59.96
62,2020-01-13,EB508,Fixed Wing Drones,eBooks,133,Roby,Pitts,Savannah,Georgia,4,15.5,62
63,2020-01-13,EB514,Polar Robots,eBooks,1101,Lotti,Cridlon,Springfield,Illinois,1,23.99,23.99
64,2020-01-13,TV809,Understanding 3D Printing,Training Videos,894,Helli,Bamlet,Sioux City,Iowa,5,42.99,214.95000000000002
65,2020-01-14,TV805,Industrial 3D Printing,Training Videos,628,Carlie,Pala,Davenport,Iowa,5,49,245
66,2020-01-14,BP110,Sleepy Eye Blueprint,Blueprints,1878,Blake,Heditch,Miami,Florida,3,11.99,35.97
67,2020-01-14,EB505,Delivery Drones,eBooks,1123,Nina,Bukac,Salt Lake City,Utah,2,14.99,29.98
68,2020-01-14,EB518,Single Rotor Drones,eBooks,1214,Joey,Sumpner,Miami,Florida,4,14.99,59.96
69,2020-01-14,DS307,MICR-564K Drone,Drones,1162,Danice,Bannell,Jacksonville,Florida,6,499,2994
70,2020-01-14,BP108,Panda Robot Blueprint,Blueprints,1944,Tadio,Spavon,Chicago,Illinois,3,7.99,23.97
71,2020-01-15,BP110,Sleepy Eye Blueprint,Blueprints,185,Umberto,Lamboll,Fresno,California,5,11.99,59.95
72,2020-01-15,EB505,Delivery Drones,eBooks,1202,Genni,Masic,Greeley,Colorado,5,14.99,74.95
73,2020-01-15,EB514,Polar Robots,eBooks,700,Roobbie,Dermot,Washington,District of Columbia,3,23.99,71.97
74,2020-01-16,DK202,BYOD-200,Drone Kits,1773,Amity,Brabyn,Syracuse,New York,2,58.95,117.9
75,2020-01-16,DK205,BYOD-350,Drone Kits,96,Alano,Cudmore,Chattanooga,Tennessee,5,89.95,449.75
76,2020-01-17,EB503,Building Your Own Drone,eBooks,1264,Hyman,Skelbeck,Albuquerque,New Mexico,4,24.99,99.96
77,2020-01-17,RK605,BYOR-3000,Robot Kits,606,Ashlee,Ghiron,Charleston,West Virginia,3,214,642
78,2020-01-17,EB517,SCARA Robots,eBooks,1285,Bryanty,Issit,Birmingham,Alabama,6,19.5,117
79,2020-01-18,DK209,BYOD-550,Drone Kits,897,Prisca,McTerlagh,Fresno,California,3,179,537
80,2020-01-18,BP109,QuadroCopter Blueprint,Blueprints,522,Patricia,Sherrott,Newark,Delaware,2,10.99,21.98
81,2020-01-18,EB521,Understanding Artificial Intelligence,eBooks,653,Elianore,Petegree,Spokane,Washington,3,19.5,58.5
82,2020-01-18,TV804,Drone Video Techniques,Training Videos,1845,Marco,Fernley,Birmingham,Alabama,2,37.99,75.98
83,2020-01-18,EB504,Cartesian Robots,eBooks,1052,Row,Hebner,Irvine,California,6,12.99,77.94
84,2020-01-19,DK205,BYOD-350,Drone Kits,1751,Everett,Silman,San Antonio,Texas,3,89.95,269.85
85,2020-01-19,RK603,BYOR-1500,Robot Kits,772,Drusy,Fison,Long Beach,California,5,189,945
86,2020-01-19,DK207,BYOD-400S,Drone Kits,1626,Leila,Glabach,Roanoke,Virginia,5,129.95,649.75
87,2020-01-20,EB518,Single Rotor Drones,eBooks,99,Marjie,Bodesson,Rochester,New York,1,14.99,14.99
88,2020-01-20,EB521,Understanding Artificial Intelligence,eBooks,209,Earvin,Askell,New Orleans,Louisiana,3,19.5,58.5
89,2020-01-20,EB511,Helicopter Drones,eBooks,459,Sidonia,Maffy,San Luis Obispo,California,4,20.95,83.8
90,2020-01-21,EB504,Cartesian Robots,eBooks,430,Jobye,Dobbinson,Odessa,Texas,2,12.99,25.98
91,2020-01-21,EB502,Building Your First Robot,eBooks,1614,Archibaldo,Olekhov,Salt Lake City,Utah,2,24.95,49.9
92,2020-01-21,RK602,BYOR-1000,Robot Kits,681,Brunhilda,Wailes,Los Angeles,California,4,189,756
93,2020-01-21,RS707,RXW-9807 Robot,Robots,1634,Ellsworth,Cowthart,Saint Paul,Minnesota,4,599,2396
94,2020-01-21,EB517,SCARA Robots,eBooks,1792,Beret,Kleanthous,Evansville,Indiana,2,19.5,39
95,2020-01-21,RS707,RXW-9807 Robot,Robots,865,Carlie,Stedman,Sacramento,California,5,599,2995
96,2020-01-21,DS307,MICR-564K Drone,Drones,932,Dalston,Monahan,Boston,Massachusetts,4,499,1996
97,2020-01-21,DS301,DA-SA702 Drone,Drones,719,Jobye,Hambelton,Riverside,California,3,399,1197
98,2020-01-21,DS303,DTD-7000 Drone,Drones,1830,Marybeth,O'Rodane,San Francisco,California,5,450,2250
99,2020-01-21,EB518,Single Rotor Drones,eBooks,1524,Buffy,Mourant,Evansville,Indiana,3,14.99,44.97
100,2020-01-21,RS704,RLK-9920 Robot,Robots,847,Vassili,Lanfare,Miami,Florida,6,699,4194
101,2020-01-21,RK606,BYOR-3535,Robot Kits,1002,Selia,Albrighton,Washington,District of Columbia,2,225,450
102,2020-01-22,DS306,DX-145 Drone,Drones,1326,Lynette,McIver,Lehigh Acres,Florida,3,250,750
103,2020-01-22,DK202,BYOD-200,Drone Kits,1833,Bradley,Simper,Bronx,New York,5,58.95,294.75
104,2020-01-22,DS302,DC-304 Drone,Drones,1302,Thaddus,Widdicombe,Fort Lauderdale,Florida,1,395,395
105,2020-01-22,EB521,Understanding Artificial Intelligence,eBooks,1103,Adolphe,Volker,Idaho Falls,Idaho,3,19.5,58.5
106,2020-01-22,DS305,DTI-84 Drone,Drones,1830,Marybeth,O'Rodane,San Francisco,California,4,455,1820
107,2020-01-23,TV813,Virtual Reality Basics,Training Videos,2035,Bone,Gellion,Saint Petersburg,Florida,5,29.99,149.95
108,2020-01-23,TV803,Cloud Computing,Training Videos,260,Charlena,Lille,Birmingham,Alabama,2,29.99,59.98
109,2020-01-23,EB512,Multi Rotor Drones,eBooks,1824,Jolynn,Ratter,Jersey City,New Jersey,3,24.95,74.85
110,2020-01-23,RS703,RCB-889 Robot,Robots,1737,Karel,Lornsen,Cincinnati,Ohio,5,549,2745
111,2020-01-23,DS305,DTI-84 Drone,Drones,160,Delcine,Giffard,Syracuse,New York,5,455,2275
